Method,Iteration,Accuracy,Log Loss
damped_newton,1,0.09500441652762784,0.6931471805599454
damped_newton,2,0.905606263835727,0.32161793276814493
damped_newton,3,0.9081580353540311,0.2561291958490226
damped_newton,4,0.9102408915933305,0.23795868780922627
damped_newton,5,0.910524421762031,0.23072321572733942
damped_newton,6,0.911484062333017,0.22575201445275092
damped_newton,7,0.9122256027742337,0.22378622711025822
damped_newton,8,0.9135232985463626,0.22176346194403446
damped_newton,9,0.9126618030337728,0.22302519193300974
damped_newton,10,0.9136759686372014,0.22144658540796452
damped_newton,11,0.9128362831375885,0.22254758238881192
damped_newton,12,0.9135232985463626,0.2215408296625661
damped_newton,13,0.9126399930207958,0.22311777785042705
damped_newton,14,0.9137523036826207,0.22142769434368098
damped_newton,15,0.9128799031635424,0.2224649754264431
damped_newton,16,0.9135232985463626,0.2215849689843643
damped_newton,17,0.9125636579753765,0.22328042372926032
damped_newton,18,0.9137850187020862,0.22143108756838048
damped_newton,19,0.9129235231894963,0.22242197792337726
damped_newton,20,0.9134469635009432,0.22161618827505136
damped_newton,21,0.9125418479623996,0.2233522195783166
damped_newton,22,0.91382863872804,0.22143521203113511
damped_newton,23,0.9129344281959848,0.22241225728146313
damped_newton,24,0.9134469635009432,0.22162481050610044
damped_newton,25,0.9125418479623996,0.22336520136997445
damped_newton,26,0.9138177337215516,0.2214360876147096
damped_newton,27,0.9129344281959848,0.22241094586987054
damped_newton,28,0.9134469635009432,0.22162608280836438
damped_newton,29,0.9125418479623996,0.22336686084559323
damped_newton,30,0.9138177337215516,0.22143620207061943
damped_newton,31,0.9129344281959848,0.2224107858738773
damped_newton,32,0.9134469635009432,0.22162624054028868
damped_newton,33,0.9125418479623996,0.22336706210080337
damped_newton,34,0.9138177337215516,0.2214362160040041
damped_newton,35,0.9129344281959848,0.22241076660108203
damped_newton,36,0.9134469635009432,0.22162625958538165
damped_newton,37,0.9125418479623996,0.22336708633586036
damped_newton,38,0.9138177337215516,0.2214362176830257
damped_newton,39,0.9129344281959848,0.2224107642828787
damped_newton,40,0.9134469635009432,0.2216262618770625
normal_newton,1,0.09500441652762784,0.6931471805599454
normal_newton,2,0.905606263835727,0.29470819604686405
normal_newton,3,0.9091503909444826,0.2481086159226527
normal_newton,4,0.9104480867166116,0.23494786430290365
normal_newton,5,0.9106116618139388,0.22902601300127248
normal_newton,6,0.9118766425666023,0.2246017673359041
normal_newton,7,0.9125091329429341,0.22338704377640578
normal_newton,8,0.913556013565828,0.2216419163149234
normal_newton,9,0.9127272330727036,0.2229145561606867
normal_newton,10,0.9137086836566668,0.2214508621060407
normal_newton,11,0.912847188144077,0.2226132441482402
normal_newton,12,0.9135451085593396,0.22151137479352292
normal_newton,13,0.9126945180532382,0.22298355193352812
normal_newton,14,0.9136977786501783,0.22143276155052985
normal_newton,15,0.9128362831375885,0.2225313343130997
normal_newton,16,0.9135232985463626,0.22154682403988515
normal_newton,17,0.9126399930207958,0.22314674342857388
normal_newton,18,0.9137741136955977,0.2214272424541893
normal_newton,19,0.9129017131765194,0.22245491901324427
normal_newton,20,0.9135232985463626,0.22159152908179144
normal_newton,21,0.9125418479623996,0.22330000626546212
normal_newton,22,0.9137959237085747,0.22143173670504188
normal_newton,23,0.9129235231894963,0.222419017918795
