Method,Iteration,Accuracy,Log Loss
damped_newton,1,0.2456839309428951,0.6931471805599452
damped_newton,2,0.8282204515272245,0.6131305049553012
damped_newton,3,0.8285524568393094,0.5520126958896068
damped_newton,4,0.8290836653386454,0.5038433971074633
damped_newton,5,0.8292828685258964,0.4653389849079476
damped_newton,6,0.8303452855245684,0.4345508530130472
damped_newton,7,0.8306772908366534,0.4102827896364194
damped_newton,8,0.8315405046480744,0.3917767021455885
damped_newton,9,0.8318061088977423,0.37848650198615164
damped_newton,10,0.8326693227091634,0.36986079313602854
damped_newton,11,0.8332669322709163,0.3651243744250461
damped_newton,12,0.8328685258964144,0.3631516693753722
damped_newton,13,0.8327357237715803,0.3626303422231829
damped_newton,14,0.8324701195219123,0.36256044973998086
damped_newton,15,0.8325365205843294,0.36255601903363377
damped_newton,16,0.8325365205843294,0.3625559549716442
damped_newton,17,0.8325365205843294,0.3625559549545216
damped_newton,18,0.8325365205843294,0.3625559549545221
damped_newton,19,0.8325365205843294,0.3625559549545216
damped_newton,20,0.8325365205843294,0.36255595495452136
damped_newton,21,0.8325365205843294,0.36255595495452214
damped_newton,22,0.8325365205843294,0.3625559549545218
damped_newton,23,0.8325365205843294,0.362555954954522
damped_newton,24,0.8325365205843294,0.3625559549545216
damped_newton,25,0.8325365205843294,0.36255595495452136
damped_newton,26,0.8325365205843294,0.36255595495452236
damped_newton,27,0.8325365205843294,0.36255595495452175
damped_newton,28,0.8325365205843294,0.3625559549545216
damped_newton,29,0.8325365205843294,0.3625559549545223
damped_newton,30,0.8325365205843294,0.36255595495452175
damped_newton,31,0.8325365205843294,0.3625559549545219
damped_newton,32,0.8325365205843294,0.3625559549545222
damped_newton,33,0.8325365205843294,0.3625559549545218
damped_newton,34,0.8325365205843294,0.3625559549545222
damped_newton,35,0.8325365205843294,0.3625559549545216
damped_newton,36,0.8325365205843294,0.3625559549545217
damped_newton,37,0.8325365205843294,0.3625559549545217
damped_newton,38,0.8325365205843294,0.3625559549545217
damped_newton,39,0.8325365205843294,0.36255595495452225
damped_newton,40,0.8325365205843294,0.36255595495452164
normal_newton,1,0.2456839309428951,0.6931471805599452
normal_newton,2,0.8282204515272245,0.41022816484566155
normal_newton,3,0.8318061088977423,0.3700726221763296
normal_newton,4,0.8327357237715803,0.3629981099702919
normal_newton,5,0.8325365205843294,0.36256397692079545
normal_newton,6,0.8325365205843294,0.36255598061963706
normal_newton,7,0.8325365205843294,0.3625559549548715
normal_newton,8,0.8325365205843294,0.36255595495452153
normal_newton,9,0.8325365205843294,0.3625559549545222
normal_newton,10,0.8325365205843294,0.36255595495452214
normal_newton,11,0.8325365205843294,0.3625559549545223
normal_newton,12,0.8325365205843294,0.3625559549545215
normal_newton,13,0.8325365205843294,0.3625559549545219
