Method,Iteration,Accuracy,Log Loss
damped_newton,1,0.09500441652762784,0.6931471805599454
damped_newton,2,0.905606263835727,0.3481217757702414
damped_newton,3,0.907132964744114,0.27398383633470397
damped_newton,4,0.909750166301349,0.2478633354530939
damped_newton,5,0.9103608466647037,0.23673791762052637
damped_newton,6,0.9107425218918005,0.23103939606075583
damped_newton,7,0.9112223421772936,0.22737088478480266
damped_newton,8,0.9116367324238558,0.2248449945725629
damped_newton,9,0.9124109878845378,0.2233285665325437
damped_newton,10,0.9127926631116345,0.22264099543779098
damped_newton,11,0.9129998582349157,0.22224214844230458
damped_newton,12,0.9130325732543811,0.22222173975824194
damped_newton,13,0.9131089082998004,0.22196517068098395
damped_newton,14,0.9129562382089618,0.22229300485440734
damped_newton,15,0.9132833884036161,0.221772802603694
damped_newton,16,0.9128580931505654,0.22261801610263637
damped_newton,17,0.9134469635009432,0.22162634184463906
damped_newton,18,0.9128144731246115,0.22260507167927163
damped_newton,19,0.9134360584944548,0.2216434377108392
damped_newton,20,0.912847188144077,0.2226279186950185
damped_newton,21,0.9134251534879664,0.22163876904478805
damped_newton,22,0.9128253781311,0.22261638839952377
damped_newton,23,0.9134360584944548,0.22164260092280275
damped_newton,24,0.912847188144077,0.2226239136060797
damped_newton,25,0.9134360584944548,0.2216403881386167
damped_newton,26,0.9128362831375885,0.22261934966706234
damped_newton,27,0.9134360584944548,0.221641769721003
damped_newton,28,0.912847188144077,0.22262217170268964
damped_newton,29,0.9134360584944548,0.22164091996547083
damped_newton,30,0.9128362831375885,0.2226204356309682
damped_newton,31,0.9134360584944548,0.22164144269665687
damped_newton,32,0.912847188144077,0.22262150515216483
damped_newton,33,0.9134360584944548,0.221641120395938
damped_newton,34,0.9128362831375885,0.2226208465682999
damped_newton,35,0.9134360584944548,0.22164131872572385
damped_newton,36,0.912847188144077,0.2226212521943787
damped_newton,37,0.9134360584944548,0.22164119652010342
damped_newton,38,0.912847188144077,0.22262100239934124
damped_newton,39,0.9134360584944548,0.22164127175811266
damped_newton,40,0.912847188144077,0.22262115624356424
normal_newton,1,0.09500441652762784,0.6931471805599454
normal_newton,2,0.905606263835727,0.29470819604686405
normal_newton,3,0.9091503909444826,0.2481086159226527
normal_newton,4,0.9104480867166116,0.23494786430290365
normal_newton,5,0.9106116618139388,0.22902601300127248
normal_newton,6,0.9118766425666023,0.2246017673359041
normal_newton,7,0.9125091329429341,0.22338704377640578
normal_newton,8,0.913556013565828,0.2216419163149234
normal_newton,9,0.9127272330727036,0.2229145561606867
