Method,Iteration,Accuracy,Log Loss
normal_newton,1,0.09500441652762784,0.6931471805599454
normal_newton,2,0.905606263835727,0.28981836378554354
normal_newton,3,0.9100664114895148,0.2383148418568599
normal_newton,4,0.9125854679883535,0.21924088156172972
normal_newton,5,0.9136323486112474,0.2120862913465229
normal_newton,6,0.9140903588837636,0.21036753420917198
normal_newton,7,0.9141994089486484,0.2101998417244992
normal_newton,8,0.9141994089486484,0.2101979432923088
normal_newton,9,0.9141994089486484,0.2101979430598225
normal_newton,10,0.9141994089486484,0.21019794305982245
normal_newton,11,0.9141994089486484,0.2101979430598225
normal_newton,12,0.9141994089486484,0.2101979430598225
normal_newton,13,0.9141994089486484,0.2101979430598225
normal_newton,14,0.9141994089486484,0.2101979430598225
normal_newton,15,0.9141994089486484,0.2101979430598225
normal_newton,16,0.9141994089486484,0.2101979430598225
normal_newton,17,0.9141994089486484,0.2101979430598225
normal_newton,18,0.9141994089486484,0.2101979430598225
normal_newton,19,0.9141994089486484,0.21019794305982245
normal_newton,20,0.9141994089486484,0.2101979430598225
normal_newton,21,0.9141994089486484,0.2101979430598225
normal_newton,22,0.9141994089486484,0.2101979430598225
normal_newton,23,0.9141994089486484,0.2101979430598225
normal_newton,24,0.9141994089486484,0.2101979430598225
normal_newton,25,0.9141994089486484,0.2101979430598225
normal_newton,26,0.9141994089486484,0.2101979430598225
normal_newton,27,0.9141994089486484,0.2101979430598225
normal_newton,28,0.9141994089486484,0.2101979430598225
normal_newton,29,0.9141994089486484,0.2101979430598225
normal_newton,30,0.9141994089486484,0.2101979430598225
normal_newton,31,0.9141994089486484,0.2101979430598225
normal_newton,32,0.9141994089486484,0.2101979430598225
normal_newton,33,0.9141994089486484,0.2101979430598225
normal_newton,34,0.9141994089486484,0.2101979430598225
normal_newton,35,0.9141994089486484,0.2101979430598225
normal_newton,36,0.9141994089486484,0.2101979430598225
normal_newton,37,0.9141994089486484,0.2101979430598225
normal_newton,38,0.9141994089486484,0.2101979430598225
normal_newton,39,0.9141994089486484,0.2101979430598225
normal_newton,40,0.9141994089486484,0.2101979430598225
regularized_newton,1,0.09500441652762784,0.6931471805599454
regularized_newton,2,0.9049955834723722,0.5230415626779237
regularized_newton,3,0.9049955834723722,0.42723464494774344
